ID (AXXXX);Area;Collector_site;Sorted_as;Collection;Weight [gram];Product type (#);Manufacturing method (K, T, Others (O), Unknown (U));Membrane (0,1);Color;Wearer/purpose (M, F, U);Age category (A, C, B);Brand Source (0,1);Company/brand;Number of velcro  (0,1+);Number of metal buttons  (0,1+);Number of plastic buttons  (0,1+);Number of metal zippers  (0,1+);Number of plastic zippers  (0,1+);Number of metal rivets, eyelets or aglets (0,1+);Number of pearls (0,1+);Sequins (0,1);Reflector (0,1+);Print (0,1);Print > 100 cm² (0,1);All over printed (0,1);Other extra parts (0,1+);Care Label Present (0,1);Readable label (0,1);Number of Layers (1+);Number of fibre (1+);Made in;Year present obvious (0,1);Production year (XXXX);Guess Year (n, o, u);Code (CVR/CA/RN) if no brand;Price Tag (0,1);Degree-of-wear (Condition scale, 1-5);Holes in front (0,1+);Holes in total (0,1+);Homemade (0,1);Fibre 1 Layer 1;Fibre 1 Layer 1 [%];Fibre 2 Layer 1;Fibre 2 Layer 1 [%];Fibre 3 Layer 1;Fibre 3 Layer 1 [%];Fibre 4 Layer 1;Fibre 4 Layer 1 [%];Fibre 5 Layer 1;Fibre 5 Layer 1 [%];Fibre 6 Layer 1;Fibre 6 Layer 1 [%];Fibre 1 Layer 2;Fibre 1 Layer 2 [%];Fibre 2 Layer 2;Fibre 2 Layer 2 [%];Fibre 3 Layer 2;Fibre 3 Layer 2 [%];Fibre 4 Layer 2;Fibre 4 Layer 2 [%];Fibre 5 Layer 2;Fibre 5 Layer 2 [%];Fibre 6 Layer 2;Fibre 6 Layer 2 [%];Fibre 1 Layer 3;Fibre 1 Layer 3 [%];Fibre 2 Layer 3;Fibre 2 Layer 3 [%];Fibre 3 Layer 3;Fibre 3 Layer 3 [%];Fibre 4 Layer 3;Fibre 4 Layer 3 [%];Fibre 5 Layer 3;Fibre 5 Layer 3 [%];Fibre 1 Layer 4;Fibre 1 Layer 4 [%];Fibre 2 Layer 4;Fibre 2 Layer 4 [%]
A0012;Aalesund;Attvin_multiple;T_waste;Central;195;3;t;0;blue;f;a;0;NaN;NaN;0;1;0;1;0;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0013;Aalesund;Attvin_multiple;T_waste;Central;248;5;t;0;multi-color;u;a;1;jiyin;NaN;0;1;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;linen;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0014;Aalesund;Attvin_multiple;T_waste;Central;302;6;t;0;white;u;a;1;sub culture;NaN;0;10;0;0;0;0;0;NaN;1;0;NaN;NaN;1;0;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0015;Aalesund;Attvin_multiple;T_waste;Central;718;5;t;0;blue;f;a;1;cubus;NaN;1;0;1;0;2;0;0;NaN;0;0;NaN;NaN;1;1;1;3;bgd;0;NaN;NaN;f584;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0016;Aalesund;Attvin_multiple;T_waste;Central;437;5;t;NaN;blue;f;a;1;kappahl;NaN;4;0;0;0;0;0;NaN;NaN;0;0;0;NaN;1;1;1;3;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;70;polyester;29;elastane;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0017;Aalesund;Attvin_multiple;T_waste;Central;315;5;t;0;multi-color pattern;f;a;1;cubus;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;bgd;0;NaN;n;o/n2757865;0;5;0;0;0;viscose;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0018;Aalesund;Attvin_multiple;T_waste;Central;218;5;t;NaN;red;f;a;1;h&m;NaN;0;0;0;0;1;0;NaN;NaN;0;0;0;NaN;1;1;1;1;mmr;NaN;NaN;n;p/n 04901760;0;4;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0019;Aalesund;Attvin_multiple;T_waste;Central;289;6;t;0;grey;f;a;1;gap;NaN;0;5;1;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;rn 54023 ca 17897;0;4;0;0;0;cotton;70;linen;30;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0020;Aalesund;Attvin_multiple;T_waste;Central;569;5;t;0;blue;f;a;0;soyaconcept;NaN;9;0;1;0;2;0;0;NaN;0;0;NaN;NaN;1;1;NaN;2;not declared;0;NaN;NaN;NaN;0;NaN;4;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0021;Aalesund;Attvin_multiple;T_waste;Central;309;6;t;NaN;grey;m;a;1;stormberg;NaN;1;0;0;6;0;0;NaN;NaN;0;0;0;NaN;1;1;1;1;chn;NaN;NaN;n;NaN;0;2;NaN;0;0;polyamide or nylon;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0023;Aalesund;Attvin_multiple;T_waste;Central;357;8;t;0;blue;f;c;1;h&m;0;9;0;0;0;2;0;0;0;0;0;0;0;0;0;1;NaN;bgd;0;NaN;n;NaN;0;2;4;5;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0025;Aalesund;Attvin_multiple;T_waste;Central;347;1;k;0;blue;f;a;1;skoovhus;NaN;0;0;1;0;0;0;0;NaN;0;0;NaN;NaN;0;0;NaN;NaN;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0026;Aalesund;Attvin_multiple;T_waste;Central;229;4;t;NaN;white;f;a;0;NaN;NaN;0;7;0;0;0;0;NaN;NaN;0;0;0;NaN;1;1;1;1;not declared;NaN;NaN;n;NaN;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0027;Aalesund;Attvin_multiple;T_waste;Central;68;1;t;NaN;white;u;c;1;h&m;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;NaN;tur;NaN;NaN;n;rn101255;0;3;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0028;Aalesund;Attvin_multiple;T_waste;Central;154;1;t;0;multi-color;f;a;1;nicole;NaN;0;5;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;NaN;0;5;0;0;0;polyester;60;viscose;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0029;Aalesund;Attvin_multiple;T_waste;Central;179;1;t;0;multi-color;u;a;1;rock eagle;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;tha;0;NaN;NaN;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0030;Aalesund;Attvin_multiple;T_waste;Central;235;4;t;0;multi-color striped;m;a;1;dressmann;0;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;not declared;0;NaN;n;NaN;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0031;Aalesund;Attvin_multiple;T_waste;Central;154;2;t;0;grey;f;a;1;floyd;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;3;not declared;0;NaN;n;NaN;0;5;0;0;0;polyamide or nylon;21;polyester;29;metallic;50;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0032;Aalesund;Attvin_multiple;T_waste;Central;255;26;t;NaN;red;f;a;1;pieces;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;NaN;NaN;n;NaN;0;5;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0035;Aalesund;Attvin_multiple;T_waste;Central;111;2;t;0;purple;f;a;0;NaN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NaN;not declared;0;NaN;n;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0037;Aalesund;Attvin_multiple;T_waste;Central;214;26;t;NaN;grey;f;a;1;å;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;NaN;NaN;n;NaN;0;4;NaN;0;0;viscose;55;polyester;25;cotton;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0040;Aalesund;Attvin_multiple;T_waste;Central;188;2;t;NaN;black;f;a;1;zara;NaN;2;0;0;1;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;mar;NaN;NaN;n;NaN;0;5;NaN;0;0;polyamide or nylon;92;elastane;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0041;Aalesund;Attvin_multiple;T_waste;Central;290;26;t;NaN;black;f;a;1;cubus;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;bgd;NaN;NaN;n;NaN;0;3;NaN;1;1;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0042;Aalesund;Attvin_multiple;T_waste;Central;238;8;t;0;multi-color;f;a;1;pia&paula;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;not declared;0;NaN;NaN;NaN;0;2;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0047;Aalesund;Attvin_multiple;T_waste;Central;513;8;t;NaN;grey;f;a;1;calvin klein;NaN;0;0;0;0;4;0;0;NaN;0;0;NaN;NaN;1;1;1;1;prt;NaN;NaN;n;rn36543;0;4;NaN;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0049;Aalesund;Attvin_multiple;T_waste;Central;499;26;t;0;multi-color;f;a;1;gerry weber;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;671023-35713-9111;0;5;0;0;0;viscose;62;polyester;38;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0050;Aalesund;Attvin_multiple;T_waste;Central;328;8;k;0;grey;f;a;1;downtown new york;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;3;chn;0;NaN;NaN;18fw.l.sw-callan;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0051;Aalesund;Attvin_multiple;T_waste;Central;272;26;k;0;white;f;a;1;urban pioneers;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;0;NaN;NaN;203692103;0;5;0;0;0;cotton;90;cashmere;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0052;Aalesund;Attvin_multiple;T_waste;Central;283;1;k;0;grey;u;a;1;mbym;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;2;chn;0;NaN;NaN;42337578 / k6430;0;4;0;0;0;cotton;60;acrylic;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0053;Aalesund;Attvin_multiple;T_waste;Central;543;11;t;0;blue;u;a;1;bik bok;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;chn;0;NaN;NaN;7,0729E+14;0;4;0;0;0;cotton;50;polyester;50;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0054;Aalesund;Attvin_multiple;T_waste;Central;632;5;t;NaN;blue;f;a;1;lee;NaN;0;0;0;0;4;0;0;NaN;0;0;NaN;NaN;1;1;1;3;bgd;NaN;NaN;n;NaN;0;2;NaN;1;1;cotton;93;polyester;5;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0055;Aalesund;Attvin_multiple;T_waste;Central;864;2;k;NaN;multi-color;u;a;1;skjæveland;NaN;0;0;0;0;6;0;0;NaN;0;0;NaN;NaN;1;1;1;1;nor;NaN;NaN;n;NaN;0;5;NaN;0;0;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0058;Aalesund;Attvin_multiple;T_waste;Central;242;9;t;NaN;multi-color pattern;f;a;0;NaN;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;1;1;2;1;gbr;NaN;NaN;o;NaN;0;4;NaN;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0064;Aalesund;Attvin_multiple;T_waste;Central;391;9;t;NaN;multi-color pattern;f;a;0;NaN;NaN;0;0;0;1;0;0;0;NaN;0;0;NaN;NaN;0;0;1;NaN;nor;NaN;NaN;n;NaN;0;2;NaN;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
